goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_title,goods_num,gender,goods_page,goods_comments,goods_url
AF TRUCKER TREF 帽子,DV0150,¥199,0,白/白,['OSFM'],"[' 这款卡车司机帽，经典“对对碰”。中间缀大号三叶草绣标，帽檐略带弧形。采用棉面料搭配网材幅片，含按扣后带。 ', '棉', '预成型弧形帽檐', '可调节按扣搭扣', '网材后片']","['https://img.adidas.com.cn/resources/2019/3/25/15535021026948115_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535021110087678_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535021047873570_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535021080485153_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535020973847885_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535020999856427_2000X2000.jpg']",中性  ORIGINALS,1,men,0,"[{'goods_comment_star': 4, 'goods_comment_time': '2019/03/24', 'goods_comment_comment': '很爱的帽子 新款  实体店里看到  立马官网下单了'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/23', 'goods_comment_comment': '发货神速，做工不错，比较满意。'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/22', 'goods_comment_comment': '帽子刚刚好，舒服通风啊，好东西值得拥有'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/16', 'goods_comment_comment': '一直想买后面网状透气的帽子，还有最喜欢帽子是这种调节方式的款。'}]",/item/DV0150?locale=zh_CN
BUCKET HAT AC 渔夫帽,EC5776,¥249,0,紫 亮光黄/白,"['OSFW', 'OSFM']","[' 熟悉的造型，新意的呈现。这款渔夫帽，设计简约，采用斜纹水洗棉布打造，力求呈现经历风霜的做旧质感。正面缀大号三叶草徽标，背面配小号三条纹织带。 ', '棉', '撞色三叶草徽标']","['https://img.adidas.com.cn/resources/2019/3/7/15519552305861120_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519552442738826_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519552422593459_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519552350538552_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519552384818972_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519552325214369_2000X2000.jpg']",中性  ORIGINALS,2,men,0,"[{'goods_comment_star': 3, 'goods_comment_time': '2019/03/25', 'goods_comment_comment': 'asdasd好滴 还不错啦，！！'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/25', 'goods_comment_comment': '送女朋友的 颜色很好看 四季适用'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/24', 'goods_comment_comment': '帽子戴着不错的 很百搭 推荐哦'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/24', 'goods_comment_comment': '颜色很漂亮，适合春天~发货很快'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/24', 'goods_comment_comment': '挺好的啊 永远爱Adidas 哈哈啊哈哈哈哈哈哈哈哈'}]",/item/EC5776?locale=zh_CN
BUCKET HAT AC 渔夫帽,EC5775,¥249,0,冷感黄/白,"['OSFW', 'OSFM']","[' 熟悉的造型，新意的呈现。这款渔夫帽，设计简约，采用斜纹水洗棉布打造，力求呈现经历风霜的做旧质感。正面缀大号三叶草徽标，背面配小号三条纹织带。 ', '棉', '撞色三叶草徽标']","['https://img.adidas.com.cn/resources/2019/3/7/15519553040404149_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519553059009438_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519553177505670_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519553101859395_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519553077542092_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519553150371515_2000X2000.jpg']",中性  ORIGINALS,3,men,0,"[{'goods_comment_star': 3, 'goods_comment_time': '2019/03/25', 'goods_comment_comment': 'asdasd好滴 还不错啦，！！'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/25', 'goods_comment_comment': '送女朋友的 颜色很好看 四季适用'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/24', 'goods_comment_comment': '帽子戴着不错的 很百搭 推荐哦'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/24', 'goods_comment_comment': '颜色很漂亮，适合春天~发货很快'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/24', 'goods_comment_comment': '挺好的啊 永远爱Adidas 哈哈啊哈哈哈哈哈哈哈哈'}]",/item/EC5775?locale=zh_CN
BUCKET HAT AC 渔夫帽,EC5774,¥249,0,橙黄/白,"['OSFW', 'OSFM']","[' 熟悉的造型，新意的呈现。这款渔夫帽，设计简约，采用斜纹水洗棉布打造，力求呈现经历风霜的做旧质感。正面缀大号三叶草徽标，背面配小号三条纹织带。 ', '棉', '撞色三叶草徽标']","['https://img.adidas.com.cn/resources/2019/3/7/15519553435564162_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519553394602014_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519553299323968_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/1551955334759338_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519553321624014_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519553372531259_2000X2000.jpg']",中性  ORIGINALS,4,men,0,"[{'goods_comment_star': 3, 'goods_comment_time': '2019/03/25', 'goods_comment_comment': 'asdasd好滴 还不错啦，！！'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/25', 'goods_comment_comment': '送女朋友的 颜色很好看 四季适用'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/24', 'goods_comment_comment': '帽子戴着不错的 很百搭 推荐哦'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/24', 'goods_comment_comment': '颜色很漂亮，适合春天~发货很快'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/24', 'goods_comment_comment': '挺好的啊 永远爱Adidas 哈哈啊哈哈哈哈哈哈哈哈'}]",/item/EC5774?locale=zh_CN
LK GRAPHIC CAP 儿童帽,DW4759,¥129,0,白/粉/粉,['OSFC'],"[' 这款小童帽，力求伴孩子在骄阳下开心玩耍。采用棉质斜纹布打造，配预成型弧形帽檐，力求为造型增添运动风范。另配后搭扣，方便调节。 ', '预成型弧形帽檐', '可调节按扣搭扣', '旨在适合艳阳天佩戴', '内置品牌标接缝饰带', '正面缀梭织adidas运动徽标', '棉']","['https://img.adidas.com.cn/resources/2019/3/7/15519583167944282_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519583186783528_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519583104912728_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519583075632859_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519583037649396_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519583124872201_2000X2000.jpg']",女童  运动表现  训练,5,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/03/26', 'goods_comment_comment': '脑子带上非常好看。质量很好。物有所值'}]",/item/DW4759?locale=zh_CN
SAMSTAG DAD CAP 帽子,DV1411,¥299,0,黑/白/金 ,['OSFM'],"[' 这款帽子，造型简约意式，以70和80年代的运动设计为灵感。采用斜纹棉布打造，配预成型弧形帽檐，含后扣带，旨在方便调节。缀刺绣三叶草徽标，含烫金色三叶草别针，更添别致。 ', '棉', '预成型弧形帽檐', '可调节后带配D形环扣合', '正面缀烫金色三叶草别针']","['https://img.adidas.com.cn/resources/2019/3/7/15519553680231251_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519553700661881_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519553636045253_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519553573846240_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519553654662425_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519553609827401_2000X2000.jpg']",中性  ORIGINALS,6,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/03/25', 'goods_comment_comment': '帽子很好，无折痕，两个小标非常好看'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/21', 'goods_comment_comment': '很好，带着很舒服，超级喜欢的.'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/21', 'goods_comment_comment': '很好看呀 但是跟图片不是一个颜色 就是纯黑色 依然好看 哈哈哈哈'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/21', 'goods_comment_comment': '想买那个藏蓝色 官网只有黑色 蛮遗憾 这个官方商城不应该商品更全么 帽子蛮好 值得一买'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/17', 'goods_comment_comment': '啊哈好红红火火恍恍惚惚哈哈哈哈哈哈哈哈哈哈'}]",/item/DV1411?locale=zh_CN
BUCKET HAT AC 渔夫帽,DV0863,¥249,0,黑/白,"['OSFW', 'OSFM']","[' 熟悉的造型，新意的呈现。这款渔夫帽，设计简约，采用斜纹水洗棉布打造，力求呈现经历风霜的做旧质感。正面缀大号三叶草徽标，背面配小号三条纹织带。 ', '棉', '撞色三叶草徽标']","['https://img.adidas.com.cn/resources/2019/3/25/15535032523338058_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535032638132676_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535032503587366_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535032541457676_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535032613938744_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535032588403092_2000X2000.jpg']",中性  ORIGINALS,7,men,0,"[{'goods_comment_star': 3, 'goods_comment_time': '2019/03/25', 'goods_comment_comment': 'asdasd好滴 还不错啦，！！'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/25', 'goods_comment_comment': '送女朋友的 颜色很好看 四季适用'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/24', 'goods_comment_comment': '帽子戴着不错的 很百搭 推荐哦'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/24', 'goods_comment_comment': '颜色很漂亮，适合春天~发货很快'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/24', 'goods_comment_comment': '挺好的啊 永远爱Adidas 哈哈啊哈哈哈哈哈哈哈哈'}]",/item/DV0863?locale=zh_CN
BASEB CLASS TRE 帽子,DV0173,¥149,0,灰粉/白,"['OSFW', 'OSFM']","[' 这款棒球帽，含预成型弧形帽檐，旨在方便穿戴。采用舒适棉面料打造，正面缀大号刺绣三叶草。后部含可调节束带，旨在方便调整。 ', '棉', '预成型弧形帽檐', '可调节后带配D形环扣合']","['https://img.adidas.com.cn/resources/2019/3/7/1551954892884701_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519548947139768_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519549004518967_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519548868755282_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519548893718641_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519548978686970_2000X2000.jpg']",中性  ORIGINALS,8,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/03/23', 'goods_comment_comment': '挺好的帽子，穿着还是很合适很舒服的'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/22', 'goods_comment_comment': '性价比很高的帽子，非常舒适美观'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/22', 'goods_comment_comment': '带着很好看，质量也不错，很喜欢，满意'}, {'goods_comment_star': 4, 'goods_comment_time': '2019/03/21', 'goods_comment_comment': '在实体店看到过的，当时没有买，后面在官网看到了，就狠下心买了，自己舒坦了，帽子质量也很好。'}, {'goods_comment_star': 4, 'goods_comment_time': '2019/03/21', 'goods_comment_comment': '有多处线头，不过版型挺好，就是照片与实物颜色不符，照片看是亚灰绿，实物拿到是墨绿色，其他还好'}]",/item/DV0173?locale=zh_CN
AF TRUCKER TREF 帽子,DV0170,¥199,0,黑/黑,"['OSFW', 'OSFM']","[' 这款卡车司机帽，经典“对对碰”。中间缀大号三叶草绣标，帽檐略带弧形。采用棉面料搭配网材幅片，含按扣后带。 ', '棉', '预成型弧形帽檐', '可调节按扣搭扣', '网材后片']","['https://img.adidas.com.cn/resources/2019/3/7/15519548967908021_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/1551954898595540_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519549052388784_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519548943922063_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519548918473399_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519549014096527_2000X2000.jpg']",中性  ORIGINALS,9,men,0,"[{'goods_comment_star': 4, 'goods_comment_time': '2019/03/24', 'goods_comment_comment': '很爱的帽子 新款  实体店里看到  立马官网下单了'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/23', 'goods_comment_comment': '发货神速，做工不错，比较满意。'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/22', 'goods_comment_comment': '帽子刚刚好，舒服通风啊，好东西值得拥有'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/16', 'goods_comment_comment': '一直想买后面网状透气的帽子，还有最喜欢帽子是这种调节方式的款。'}]",/item/DV0170?locale=zh_CN
KIDS MESH CAP 儿童帽,DV0069,¥129,0,学院藏青蓝/白,['OSFY'],"[' 这款小童帽，力求适合在夏日操场佩戴，含聚酯纤维网材面料，旨在助孩子保持舒适，配预成型弧形帽檐，力求遮挡炫目阳光。配魔术贴粘扣后带，旨在方便调节。 ', '聚酯纤维', '预成型弧形帽檐', '可调节魔术贴粘扣后带']","['https://img.adidas.com.cn/resources/2019/3/7/15519583508179670_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519583489102304_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519583529585995_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519583411416750_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/1551958346489451_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/1551958343490556_2000X2000.jpg']",男童  运动表现  训练,10,men,0,[],/item/DV0069?locale=zh_CN
BILLDOGSNAPBCK 帽子,DU8292,¥299,0,白/简单黄,"['OSFW', 'OSFM']","[' 这款休闲的基本款棉质帽子，饰有纽约插画师Bill Rebholz比尔·雷布霍兹的插画作品。采用斜纹布面料，缀灯芯绒帽檐。配后扣式可调节搭扣，方便调节，让帽子和你的造型融为一体。 ', '棉', '平檐', '后搭扣', '由比尔·雷布霍兹特别创作的插图']","['https://img.adidas.com.cn/resources/2019/3/7/15519550550198145_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519550683843049_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519550636789188_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519550657241520_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519550610837656_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519550583096891_2000X2000.jpg']",中性  ORIGINALS,11,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/03/13', 'goods_comment_comment': '帽子很舒适 质量很好 戴的感觉非常号'}]",/item/DU8292?locale=zh_CN
