goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_title,goods_num,gender,goods_page,goods_comments,goods_url
ADIC WASHED CAP 帽子,DV0206,¥199,0,蒸汽白 青灰/白,"['OSFW', 'OSFM']","[' 戴上就爱上。这款棉质帽子，采用水洗斜纹布打造，力求呈现休闲做旧造型。正面缀刺绣三叶草徽标，后部附扣带，方便调节。 ', '棉', '预成型弧形帽檐', '可调节后带配D形环扣合']","['https://img.adidas.com.cn/resources/2019/4/11/15549762914629118_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549762864333428_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549762883154974_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549762841933017_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549762957368539_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549762933882046_2000X2000.jpg']",中性  ORIGINALS,23,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/05/16', 'goods_comment_comment': 'Dismsvaldnsjsbxksnxnzos'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/15', 'goods_comment_comment': '还想买个粉色 头尾刚好 帽子收集者'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/06', 'goods_comment_comment': '颜色很骚气！舒适~~哈哈哈哈哈哈哈'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/04/22', 'goods_comment_comment': '颜色很正，很好看'}, {'goods_comment_star': 3, 'goods_comment_time': '2019/04/21', 'goods_comment_comment': ''}]",https://www.adidas.com.cn/item/DV0206
adidas neo x Pokémon 联名系列 Bucket PKMN 帽子,FR5583,¥199,0,白/黑,"['OSFW', 'OSFM']","[' 这款渔夫帽，力求让《精灵宝可梦》（Pokémon™）伴你升格造型。三条纹后“闪现”小精灵形象，顽皮可爱。采用梭织面料，搭配网材衬里，佩戴舒适，力求伴你“狩猎”。 ', '聚酯纤维', '包围式帽檐', '网材衬里', '《精灵宝可梦》（Pokémon™）图案']","['https://img.adidas.com.cn/resources/2019/5/9/15573850597717773_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/9/15573850647581398_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/9/1557385052826227_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/9/15573850616361654_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/9/15573850553334005_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/9/15573850664846965_2000X2000.jpg']",中性  adidas neo,24,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/05/12', 'goods_comment_comment': ''}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/17', 'goods_comment_comment': '啊啊啊啊啊啊啊啊，敲好看的，真的是大爱了，简直想哭'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/15', 'goods_comment_comment': '老婆很喜欢，女儿也抢着要带，哈哈'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/14', 'goods_comment_comment': '唉和包一起抢包没了皮卡丘也没了。该一早去店里买。帽子好看就是头太大还是小了点。。'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/13', 'goods_comment_comment': '看到皮卡丘必入 帽子戴的很适合'}]",https://www.adidas.com.cn/item/FR5583
BUCKET HAT AC 渔夫帽,DV0863,¥249,0,黑/白,"['OSFW', 'OSFM']","[' 熟悉的造型，新意的呈现。这款渔夫帽，设计简约，采用斜纹水洗棉布打造，力求呈现经历风霜的做旧质感。正面缀大号三叶草徽标，背面配小号三条纹织带。 ', '棉', '撞色三叶草徽标']","['https://img.adidas.com.cn/resources/2019/3/25/15535032523338058_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535032638132676_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535032503587366_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535032541457676_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535032613938744_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535032588403092_2000X2000.jpg']",中性  ORIGINALS,25,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/04/26', 'goods_comment_comment': ''}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/21', 'goods_comment_comment': '春季，休闲套装，感觉就是缺一件渔夫帽，很信赖阿迪，到货了戴上果然很好看'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/21', 'goods_comment_comment': '好看极了，带上它完全不影响我骑二八大杠'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/18', 'goods_comment_comment': '好好好好&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/17', 'goods_comment_comment': '很好看。好评。'}]",https://www.adidas.com.cn/item/DV0863
BUCKET HAT AC 渔夫帽,EC5776,¥249,0,紫 亮光黄/白,"['OSFW', 'OSFM']","[' 熟悉的造型，新意的呈现。这款渔夫帽，设计简约，采用斜纹水洗棉布打造，力求呈现经历风霜的做旧质感。正面缀大号三叶草徽标，背面配小号三条纹织带。 ', '棉', '撞色三叶草徽标']","['https://img.adidas.com.cn/resources/2019/3/7/15519552305861120_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519552442738826_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519552422593459_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519552350538552_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519552384818972_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519552325214369_2000X2000.jpg']",中性  ORIGINALS,1,women,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/04/26', 'goods_comment_comment': ''}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/21', 'goods_comment_comment': '春季，休闲套装，感觉就是缺一件渔夫帽，很信赖阿迪，到货了戴上果然很好看'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/21', 'goods_comment_comment': '好看极了，带上它完全不影响我骑二八大杠'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/18', 'goods_comment_comment': '好好好好&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/17', 'goods_comment_comment': '很好看。好评。'}]",https://www.adidas.com.cn/item/EC5776?locale=zh_CN
BASEB CLASS TRE 帽子,DV0173,¥149,0,灰粉/白,"['OSFW', 'OSFM']","[' 这款棒球帽，含预成型弧形帽檐，旨在方便穿戴。采用舒适棉面料打造，正面缀大号刺绣三叶草。后部含可调节束带，旨在方便调整。 ', '棉', '预成型弧形帽檐', '可调节后带配D形环扣合']","['https://img.adidas.com.cn/resources/2019/3/7/1551954892884701_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519548947139768_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519549004518967_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519548868755282_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519548893718641_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519548978686970_2000X2000.jpg']",中性  ORIGINALS,2,women,1,"[{'goods_comment_star': 4, 'goods_comment_time': '2019/05/20', 'goods_comment_comment': '本来要买女款，结果卖完了，家人试戴男款也很合适!可调节松紧，不错'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/20', 'goods_comment_comment': '非非非非非常好 非常舒适！！！'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/17', 'goods_comment_comment': '好好的确好看的东西的我们都是这样'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/16', 'goods_comment_comment': '打开味道很大，可难闻，别的没有一点毛病'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/13', 'goods_comment_comment': '价格还可以~买到三叶草帽子。而且颜色很好看'}]",https://www.adidas.com.cn/item/DV0173?locale=zh_CN
BUCKET HAT AC 渔夫帽,EC5774,¥249,0,橙黄/白,"['OSFW', 'OSFM']","[' 熟悉的造型，新意的呈现。这款渔夫帽，设计简约，采用斜纹水洗棉布打造，力求呈现经历风霜的做旧质感。正面缀大号三叶草徽标，背面配小号三条纹织带。 ', '棉', '撞色三叶草徽标']","['https://img.adidas.com.cn/resources/2019/3/7/15519553435564162_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519553394602014_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519553299323968_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/1551955334759338_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519553321624014_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519553372531259_2000X2000.jpg']",中性  ORIGINALS,3,women,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/04/26', 'goods_comment_comment': ''}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/21', 'goods_comment_comment': '春季，休闲套装，感觉就是缺一件渔夫帽，很信赖阿迪，到货了戴上果然很好看'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/21', 'goods_comment_comment': '好看极了，带上它完全不影响我骑二八大杠'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/18', 'goods_comment_comment': '好好好好&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/17', 'goods_comment_comment': '很好看。好评。'}]",https://www.adidas.com.cn/item/EC5774?locale=zh_CN
TIRO C40 CAP 足球帽子,DQ1073,¥99,0,黑/白,['OSFM'],"[' 崇尚运动。这款帽子，正面缀经典三条纹，力求展现你对足球的热爱。内含衬里，佩戴舒适，搭配预成型弧形帽檐。 ', '均码，力求适合多数人使用', '棉', '预成型弧形帽檐', '可调节搭扣', 'Climalite汗带', '旨在适合艳阳天佩戴']","['https://img.adidas.com.cn/resources/2019/3/25/1553503538539490_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/1553503544136223_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535035411635_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535035457591977_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535035365123115_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535035477597529_2000X2000.jpg']",中性  运动表现  足球,4,women,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/05/21', 'goods_comment_comment': '款式新颖，材料舒适，价格实惠，运送快捷'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/21', 'goods_comment_comment': '刚收到帽子，质量很好，虽然是男士款，但是戴着很好看'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/19', 'goods_comment_comment': '还没戴，性价比很高，推荐购买。99元，67折，很优惠。'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/19', 'goods_comment_comment': '帽檐很长，挡住剧烈阳光，非常经典的一款。'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/18', 'goods_comment_comment': '帽子你好，其实我的心是留给那款青色男款帽子的。但是呢，它被秒了，刚好你又便宜100块钱，我就选了你。虽然我不能像爱青那样爱你，但是，我一定让你竭尽所能。我会好好对你的，马上夏天到啦，我这人又不喜欢打伞，是时候展现你的遮阳能力啦。来吧帽子，一起快乐的抵御太阳光。'}]",https://www.adidas.com.cn/item/DQ1073?locale=zh_CN
4 PANEL CAP EQT 帽子,CD6952,¥349,0,四度灰/白,['OSFM'],"[' Equipment系列，源自adidas传统，融合复古与摩登。这款帽子，展现Equipment气质。采用梭织面料，挺拔四片式设计。背面隐藏式接缝拉链，拉开后可取出下拉后襟，力求为颈部遮阳。 ', '平檐', '拉链接缝', '四片式结构', '正幅片缀Equipment ADV logo', '侧面缀大号“EQT”印花']","['https://img.adidas.com.cn/resources/2018/1/11/15156593510439710_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/1/11/1515659346511980_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/1/11/15156593298489297_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/1/11/15156593236269166_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/1/11/15156593178325439_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/1/11/15156593346867343_2000X2000.jpg']",中性  ORIGINALS,5,women,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/12/12', 'goods_comment_comment': '不怎么地，帽子甚至还有点儿脏，不知道是什么鬼。'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/04/07', 'goods_comment_comment': '这是一款值得购买的帽子，特别是降价后，面料很棒，功能也很棒。'}]",https://www.adidas.com.cn/item/CD6952?locale=zh_CN
adidas NMD CAP 帽子,CE2390,¥349,0,五度灰/黑,['OSFM'],"[' 这款五片式帽子，时尚摩登。采用棉帆布打造，配撞色外缝、平帽檐、及可调节织带搭扣。 ', '平檐', '梭织扣带', '四种语言“The brand with the 3 Stripes”条带', '均码，旨在适合多数人']","['https://img.adidas.com.cn/resources/2018/2/5/15178358762849220_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/2/5/15178358714466869_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/2/5/15178358616051789_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/2/5/15178358462057912_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/2/5/15178358559778860_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/2/5/151783586587755_2000X2000.jpg']",中性  ORIGINALS,6,women,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/12/16', 'goods_comment_comment': '感觉食物好于图片，以后帽子也能有模特照就好了'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/12/16', 'goods_comment_comment': '非常舒适的帽子，实物戴起来比图片好看'}, {'goods_comment_star': 4, 'goods_comment_time': '2018/12/15', 'goods_comment_comment': '帽子是不是有点太低掉了，家里人一直说，是不是工地搬砖配的工作帽子( ￣▽￣)&sigma;'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/05/23', 'goods_comment_comment': '帽子大小适合，戴起来舒服，希望袋久不会变形'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/03/22', 'goods_comment_comment': '帽子做工不错，设计很低调，不仔细看都看不出来是阿迪出品，挺好的，有内涵！关键是阿迪对用户真不错，积分真给力啊！'}]",https://www.adidas.com.cn/item/CE2390?locale=zh_CN
C40 PARLEY CAP 运动帽,EJ9027,¥229,0,黑/亚麻绿/黑,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2019/5/14/15578003470212414_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/14/15578003518106310_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/14/15578003616279242_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/14/15578003573229118_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/14/15578003537698125_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/14/15578003490312768_2000X2000.jpg']",中性  运动表现  训练,7,women,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/05/19', 'goods_comment_comment': '帽子\U0001f9e2看起来不错👍帽子\U0001f9e2看起来不错👍'}]",https://www.adidas.com.cn/item/EJ9027?locale=zh_CN
AC VISOR 帽子,ED4719,¥149,0,黑,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2019/5/10/15574668447581730_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/15574668429363414_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/15574668400338880_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/15574668482583939_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/15574668509802987_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/15574668370385812_2000X2000.jpg']",中性  ORIGINALS,8,women,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/05/20', 'goods_comment_comment': '超级好看，颜色粉粉的，和图片无差别！喜欢！😘'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/20', 'goods_comment_comment': '超级好看，和图片无差别！喜欢！😘'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/17', 'goods_comment_comment': '非常不错，戴着舒服，感觉非常好，质地也非常好，物流快'}]",https://www.adidas.com.cn/item/ED4719?locale=zh_CN
TECH 3 STRI CAP 帽子,DV0197,¥349,0,白/黑,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2019/5/10/15574596586995794_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/15574596719634509_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/15574596661436035_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/15574596631052682_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/1557459655552189_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/15574596683689262_2000X2000.jpg']",中性  ORIGINALS,9,women,1,[],https://www.adidas.com.cn/item/DV0197?locale=zh_CN
SUPER CAP 帽子,ED8028,¥299,0,黑/白,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2019/5/10/15574669291101620_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/15574669273392474_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/15574669368699904_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/15574669247235297_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/15574669344695579_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/15574669317835284_2000X2000.jpg']",中性  ORIGINALS,10,women,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/05/15', 'goods_comment_comment': '用劵买的，只用了99就搞定了，蛮有代表性的帽子！'}]",https://www.adidas.com.cn/item/ED8028?locale=zh_CN
AF MELANGE CAP 帽子,DV0181,¥249,0,黑/白,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2019/5/10/15574596408668162_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/15574596426634996_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/15574596389618888_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/15574596364636612_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/15574596458294043_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/15574596341603825_2000X2000.jpg']",中性  ORIGINALS,11,women,1,[],https://www.adidas.com.cn/item/DV0181?locale=zh_CN
TECH 3 STRI CAP 帽子,DV0198,¥349,0,黑/黑,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2019/5/10/15574596710575334_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/15574596691013720_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/15574596612126765_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/15574596663028445_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/15574596584651771_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/15574596634759006_2000X2000.jpg']",中性  ORIGINALS,12,women,1,[],https://www.adidas.com.cn/item/DV0198?locale=zh_CN
AC VISOR 帽子,ED4720,¥149,0,活力粉,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2019/5/10/1557466847221864_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/15574668443652084_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/15574668515413446_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/15574668566738641_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/15574668533879280_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/5/10/15574668490009560_2000X2000.jpg']",中性  ORIGINALS,13,women,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/05/20', 'goods_comment_comment': '超级好看，颜色粉粉的，和图片无差别！喜欢！😘'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/20', 'goods_comment_comment': '超级好看，和图片无差别！喜欢！😘'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/17', 'goods_comment_comment': '非常不错，戴着舒服，感觉非常好，质地也非常好，物流快'}]",https://www.adidas.com.cn/item/ED4720?locale=zh_CN
运动帽,S97588,¥169,0,黑/黑/黑,"['OSFW', 'OSFM']","[' 这款帽子，配加衬汗带，伴你度过艰苦训练。搭配渔网式后衬，预成型帽檐。 ', 'Climalite面料', '中弧度预成型弧形帽檐', '按扣搭扣', '六片式结构', '渔网式后衬', '正面缀3D热塑性聚氨酯橡胶（TPU）印花adidas商标']","['https://img.adidas.com.cn/resources/2017/12/12/15130412006104399_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2017/12/12/15130411960604235_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2017/12/12/15130412150628918_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2017/12/12/1513041204735172_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2017/12/12/15130411904583547_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2017/12/12/15130411844088563_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2017/12/12/15130412189615836_2000X2000.jpg']",中性  运动表现  训练,14,women,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/05/21', 'goods_comment_comment': '棒棒哒质量很好 面料柔软 适合夏天戴'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/19', 'goods_comment_comment': '物流速度快，价格优惠，质量挺不错的，值得推荐。'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/04/02', 'goods_comment_comment': '很好。。。。。。。。。。。。。'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/29', 'goods_comment_comment': '赞赞赞 用优惠买的帽子很划算 也很好看'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/16', 'goods_comment_comment': '很不错，颜色很正，比正常的小一点'}]",https://www.adidas.com.cn/item/S97588?locale=zh_CN
S16 THE PACKCAP 运动帽,DT8576,¥199,0,黑/黑/白,"['OSFW', 'OSFM']","[' 这款帽子，力求为你在晴日里带来遮覆，采用低弧度帽檐，旨在为双眼遮挡阳光。后扣可调节，另缀adidas运动徽标，更添运动型格。 ', '均码', '聚酯纤维', '低弧度帽檐', '后搭扣', 'adidas运动徽标', '旨在适合艳阳天']","['https://img.adidas.com.cn/resources/2019/4/11/15549743084721097_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549743202838396_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549743182562607_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549743059525521_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549743126846901_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549743153806481_2000X2000.jpg']",中性  运动表现  训练,15,women,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/04/17', 'goods_comment_comment': '收到货时以为偏大，后面可以调，喜欢，旅游徒步带的可以上手。'}]",https://www.adidas.com.cn/item/DT8576?locale=zh_CN
THREES4PANEL 帽子,DU8293,¥299,0,浅陈金土/白,"['OSFW', 'OSFM']","[' 这款帽子，以饰带横贯正中，时尚有型。采用四片式结构，配平檐，后部含束带，方便调节。 ', ' ', '印花饰带 ', '饰带所缀图案灵感源自手绘艺术略带瑕疵的美感 ', ' ', '面料舒适 ', '采用梭织面料，质感舒适 ', '聚酯纤维', '平檐', '后扣带']","['https://img.adidas.com.cn/resources/2019/4/11/15549764316429265_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549764357003334_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549764397997983_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549764293047107_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549764374103292_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549764416407137_2000X2000.jpg']",中性  ORIGINALS,16,women,1,[],https://www.adidas.com.cn/item/DU8293?locale=zh_CN
3 STRIPE SNAP 帽子,DV0196,¥349,0,黑/黑,"['OSFW', 'OSFM']","[' 这款按扣帽子，风格简约，带来时尚adidas气质。采用弹力面料打造，干练有型。含平檐，所缀硅胶三条纹直指标志性三叶草徽标。 ', '平檐', '可调节按扣搭扣']","['https://img.adidas.com.cn/resources/2019/4/11/15549763176179697_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549763209508227_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549763155713799_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549763261649512_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549763236195172_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/1554976329125911_2000X2000.jpg']",中性  ORIGINALS,17,women,1,[],https://www.adidas.com.cn/item/DV0196?locale=zh_CN
AFRAME CAP 帽子,DU6796,¥299,0,黑/白,['OSFM'],"[' 这款卡车司机帽，新颖时尚，采用棉质帆布打造，有别于通常的网材质地。配预成型弧形帽檐，缀三叶草徽标补丁，增添运动情趣。 ', '棉', '预成型弧形帽檐', '可调节按扣搭扣']","['https://img.adidas.com.cn/resources/2019/3/7/15519553505645178_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519553437289413_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/15519553523476811_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/1551955338782632_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/1551955345484230_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/7/1551955347994408_2000X2000.jpg']",中性  ORIGINALS,18,women,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/04/30', 'goods_comment_comment': '物流很快，帽子戴着挺舒适时尚，'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/04/02', 'goods_comment_comment': '帽子简单logo，大气，百搭，不是很运动款，各种造型都能搭配。性价比也好。推荐！'}]",https://www.adidas.com.cn/item/DU6796?locale=zh_CN
