产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
GROCERIES BEANIE,HO8191004|BLK|ONE,$16.00,$0,BLACK,['ONE SIZE'],"['O-Neill Men-s dock wear cuff beanie', 'Ribbed knit', 'Woven label', '100% Acrylic']","['https://cdn.shopify.com/s/files/1/2034/7683/products/groceries_HO8191004_blk_f_afcf2560-f0e2-45a4-b374-eaa30c1fd1a9.jpg?v=1538432536', 'https://cdn.shopify.com/s/files/1/2034/7683/products/groceries_HO8191004_blk_1.jpg?v=1538432536', 'https://cdn.shopify.com/s/files/1/2034/7683/products/groceries_HO8191004_blk_b.jpg?v=1538432536']",1,MENS,1,https://us.oneill.com/collections/mens-hats/products/ho8191004-blk-groceries
GROCERIES BEANIE,HO8191004|NVY|ONE,$16.00,$0,NAVY,['ONE SIZE'],"['O-Neill Men-s dock wear cuff beanie', 'Ribbed knit', 'Woven label', '100% Acrylic']","['https://cdn.shopify.com/s/files/1/2034/7683/products/groceries_HO8291004_nvy_f.jpg?v=1538432540', 'https://cdn.shopify.com/s/files/1/2034/7683/products/groceries_HO8291004_nvy_1.jpg?v=1538432540', 'https://cdn.shopify.com/s/files/1/2034/7683/products/groceries_HO8291004_nvy_b.jpg?v=1538432540']",2,MENS,1,https://us.oneill.com/collections/mens-hats/products/ho8191004-nvy-groceries
GROCERIES BEANIE,HO8191004|WNE|ONE,$16.00,$0,WINE,['ONE SIZE'],"['O-Neill Men-s dock wear cuff beanie', 'Ribbed knit', 'Woven label', '100% Acrylic']","['https://cdn.shopify.com/s/files/1/2034/7683/products/groceries_HO8191004_wne_f_c729633c-e780-487e-975c-94ae455d52d6.jpg?v=1538432542', 'https://cdn.shopify.com/s/files/1/2034/7683/products/groceries_HO8191004_wne_1.jpg?v=1538432542', 'https://cdn.shopify.com/s/files/1/2034/7683/products/groceries_HO8191004_wne_b.jpg?v=1538432542']",3,MENS,1,https://us.oneill.com/collections/mens-hats/products/ho8191004-wne-groceries
SONOMA HAT,15192004|NAT|ONE,$19.50,$0,NATURAL,['ONE'],"['O-Neill Men-s lifeguard hat', 'Triple stack logo patch', 'Drawcord with cord lock', 'Brim across: 17', '100% Sea straw']","['https://cdn.shopify.com/s/files/1/2034/7683/products/sonomahat_15192004_nat_f.jpg?v=1519667672', 'https://cdn.shopify.com/s/files/1/2034/7683/products/sonomahat_15192004_nat_1.jpg?v=1519667672', 'https://cdn.shopify.com/s/files/1/2034/7683/products/sonomahat_15192004_nat_2.jpg?v=1519667672', 'https://cdn.shopify.com/s/files/1/2034/7683/products/sonomahat_15192004_nat_3.jpg?v=1519667672', 'https://cdn.shopify.com/s/files/1/2034/7683/products/sonoma_15192004_nat_f.jpg?v=1519667672']",4,MENS,1,https://us.oneill.com/collections/mens-hats/products/15192004-nat-sonoma-hat
SUNS OUT HAT,SP8792001|NAT|ONE,$26.00,$0,NATURAL,['ONE'],"['Jack O-Neill lifeguard hat', 'Logo patch', 'Drawcord with cord lock', '100% Sea straw']","['https://cdn.shopify.com/s/files/1/2034/7683/products/sunsout_SP8792001_nat_1.jpg?v=1543530827', 'https://cdn.shopify.com/s/files/1/2034/7683/products/sunsout_SP8792001_nat_3.jpg?v=1543530827', 'https://cdn.shopify.com/s/files/1/2034/7683/products/sunsout_SP8792001_nat_f.jpg?v=1543530827', 'https://cdn.shopify.com/s/files/1/2034/7683/products/sunsout_SP8792001_nat_2.jpg?v=1543530827']",5,MENS,1,https://us.oneill.com/collections/mens-hats/products/suns-out-hat
WETLANDS HAT,SP8192002|KHA|ONE,$26.00,$0,KHAKI,['ONE SIZE'],"['O-Neill Men-s bucket hat', 'Logo patch', 'Adjustable drawcord', 'Embroidered eyelet details', 'Brim across: 13.25', '100% Polyester']",['https://cdn.shopify.com/s/files/1/2034/7683/products/wetlandshat_SP8192002_kha_f.jpg?v=1540262370'],6,MENS,1,https://us.oneill.com/collections/mens-hats/products/sp8192002-kha-wetlands-hat
WETLANDS HAT,SP8192002|BLK|ONE,$26.00,$0,BLACK,['ONE SIZE'],"['O-Neill Men-s bucket hat', 'Logo patch', 'Adjustable drawcord', 'Embroidered eyelet details', 'Brim across: 13.25', '100% Polyester']",['https://cdn.shopify.com/s/files/1/2034/7683/products/wetlandshat_SP8192002_blk_f.jpg?v=1513643273'],7,MENS,1,https://us.oneill.com/collections/mens-hats/products/sp8192002-blk-wetlands-hat
SUIT UP TRUCKER HAT,HO8196011|NVY|ONE,$24.00,$0,NAVY,['ONE SIZE'],"['O-Neill Men-s Flexfit® foam trucker hat', 'Mid profile, snapback design', 'Multi logo patch and rear flag label', '55% Cotton, 45% Polyester']","['https://cdn.shopify.com/s/files/1/2034/7683/products/suituptrucker_HO8196011_nvy_f_0728e442-7981-4eb2-8a89-4d1e98475b4e.jpg?v=1537291027', 'https://cdn.shopify.com/s/files/1/2034/7683/products/suituptrucker_HO8196011_nvy_b.jpg?v=1537828471']",8,MENS,1,https://us.oneill.com/collections/mens-hats/products/ho8196011-nvy-suit-up-trucker
SHIELD TRUCKER HAT,HO8196010|BLK|ONE,$26.00,$0,BLACK,['ONE SIZE'],"['O-Neill Men-s Flexfit® foam trucker hat', 'Mid profile, snapback design', 'Front logo patch and rear flag label', '55% Cotton, 45% Polyester']","['https://cdn.shopify.com/s/files/1/2034/7683/products/shieldtrucker_HO8196010_blk_f.jpg?v=1537559900', 'https://cdn.shopify.com/s/files/1/2034/7683/products/shieldtrucker_HO8196010_blk_b.jpg?v=1537559901']",9,MENS,1,https://us.oneill.com/collections/mens-hats/products/ho8196010-blk-shield-trucker
SHIELD TRUCKER HAT,HO8196010|DKA|ONE,$26.00,$0,DARK ARMY,['ONE SIZE'],"['O-Neill Men-s Flexfit® foam trucker hat', 'Mid profile, snapback design', 'Front logo patch and rear flag label', '55% Cotton, 45% Polyester']","['https://cdn.shopify.com/s/files/1/2034/7683/products/shieldtrucker_HO8196010_dka_f_da292067-d4d0-459e-9bfa-f8346a2b9333.jpg?v=1537291022', 'https://cdn.shopify.com/s/files/1/2034/7683/products/shieldtrucker_HO8196010_dka_b.jpg?v=1537559912']",10,MENS,1,https://us.oneill.com/collections/mens-hats/products/ho8196010-dka-shield-trucker
