产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Washed Cord Cap,washed-cord-cap-225-black,$35.00,$0,Black,['all'],"['Structured 6 panel', 'Embroidered logo', 'Adjustable snapback closure', '100% cotton', 'Imported', 'One size fits most']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131821_BLAC_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131821_BLAC_2.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131821_BLAC_3.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131821_BLAC_4.jpg']",1,all,1,https://www.stussy.com/us/washed-cord-cap?color_hat=225
Washed Cord Cap,washed-cord-cap-280-navy,$35.00,$0,Navy,['all'],"['Structured 6 panel', 'Embroidered logo', 'Adjustable snapback closure', '100% cotton', 'Imported', 'One size fits most']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131821_WINE_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131821_WINE_2.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131821_WINE_3.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131821_WINE_4.jpg']",1,all,1,https://www.stussy.com/us/washed-cord-cap?color_hat=225
Washed Cord Cap,washed-cord-cap-323-wine,$35.00,$0,Wine,['all'],"['Structured 6 panel', 'Embroidered logo', 'Adjustable snapback closure', '100% cotton', 'Imported', 'One size fits most']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131821_NAVY_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131821_NAVY_2.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131821_NAVY_3.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131821_NAVY_4.jpg']",1,all,1,https://www.stussy.com/us/washed-cord-cap?color_hat=225
Polar Fleece Strapback,polar-fleece-strapback-cap-225-black,$40.00,$0,Black,['all'],"['Structured 6 panel', 'Embroidered logo', 'Adjustable strapback closure', '100% polyester', 'Imported', 'One size fits most']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131825_BLAC_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131825_BLAC_2.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131825_BLAC_3.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131825_BLAC_4.jpg']",2,all,1,https://www.stussy.com/us/polar-fleece-strapback-cap?color_hat=225
Polar Fleece Strapback,polar-fleece-strapback-cap-260-green,$40.00,$0,Green,['all'],"['Structured 6 panel', 'Embroidered logo', 'Adjustable strapback closure', '100% polyester', 'Imported', 'One size fits most']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131825_NAVY_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131825_NAVY_2.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131825_NAVY_3.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131825_NAVY_4.jpg']",2,all,1,https://www.stussy.com/us/polar-fleece-strapback-cap?color_hat=225
Polar Fleece Strapback,polar-fleece-strapback-cap-280-navy,$40.00,$0,Navy,['all'],"['Structured 6 panel', 'Embroidered logo', 'Adjustable strapback closure', '100% polyester', 'Imported', 'One size fits most']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131825_GREN_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131825_GREN_2.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131825_GREN_3.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131825_GREN_4.jpg']",2,all,1,https://www.stussy.com/us/polar-fleece-strapback-cap?color_hat=225
Corduroy Low Pro Cap,corduroy-low-pro-cap-225-black,$35.00,$0,Black,['all'],"['Structured 6 panel', 'Embroidered logo', 'Adjustable strapback closure', '100% cotton', 'Imported', 'One size fits most']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131830_BLAC_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131830_BLAC_2.jpg']",3,all,1,https://www.stussy.com/us/corduroy-low-pro-cap?color_hat=225
Corduroy Low Pro Cap,corduroy-low-pro-cap-227-blue,$35.00,$0,Blue,['all'],"['Structured 6 panel', 'Embroidered logo', 'Adjustable strapback closure', '100% cotton', 'Imported', 'One size fits most']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131830_BLUE_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131830_BLUE_2.jpg']",3,all,1,https://www.stussy.com/us/corduroy-low-pro-cap?color_hat=225
Corduroy Low Pro Cap,corduroy-low-pro-cap-260-green,$35.00,$0,Green,['all'],"['Structured 6 panel', 'Embroidered logo', 'Adjustable strapback closure', '100% cotton', 'Imported', 'One size fits most']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131830_GREN_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131830_GREN_2.jpg']",3,all,1,https://www.stussy.com/us/corduroy-low-pro-cap?color_hat=225
