产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品标题,产品位置,适合人群,产品页面编号,产品评论,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_title,goods_num,gender,goods_page,goods_comments,goods_url
adidas neo LOGO SC CAP帽子,CF6804,¥129,0,蓝,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2018/11/6/1541496222677496_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/11/6/15414962243991634_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/11/6/15414962195077866_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/11/6/15414962316158570_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/11/6/15414962285187912_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/11/6/15414962261137080_500X500.jpg']",中性 adidas neo ,1,men,1,"[{'goods_comment_star': 3, 'goods_comment_time': '2018/11/09', 'goods_comment_comment': '阿迪达斯的东西还不错，可以，满意'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/11/08', 'goods_comment_comment': '商品名称：adidas neo LOGO SC CAP帽子'}, {'goods_comment_star': 4, 'goods_comment_time': '2018/11/04', 'goods_comment_comment': '搭配黑色的衣服很不错的一款脑子，非常喜欢'}]",https://www.adidas.com.cn/item/CF6804?locale=zh_CN
adidas neo LOGO SC CAP帽子,CF6803,¥129,0,黑,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2018/10/29/15408066092287430_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/29/15408065959759675_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/29/15408066073071764_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/29/15408066028883738_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/29/15408066002309573_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/29/15408065978034974_500X500.jpg']",中性 adidas neo ,2,men,1,"[{'goods_comment_star': 3, 'goods_comment_time': '2018/11/09', 'goods_comment_comment': '阿迪达斯的东西还不错，可以，满意'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/11/08', 'goods_comment_comment': '商品名称：adidas neo LOGO SC CAP帽子'}, {'goods_comment_star': 4, 'goods_comment_time': '2018/11/04', 'goods_comment_comment': '搭配黑色的衣服很不错的一款脑子，非常喜欢'}]",https://www.adidas.com.cn/item/CF6803?locale=zh_CN
adidas neo WINTER SC CAP 帽子,CF6801,¥169,0,黑/淡灰,"['OSFW', 'OSFM']",[' '],"['https://img.adidas.com.cn/resources/2018/10/26/15405450336729919_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/26/15405450443424276_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/26/15405450423946551_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/26/15405450355266925_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/26/15405450377686384_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/26/15405450467037157_500X500.jpg']",中性 adidas neo ,3,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/11/09', 'goods_comment_comment': '帽子感觉有点大，不是很紧。可能是我脑袋有点小'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/11/07', 'goods_comment_comment': '不错，不错，真的很不错\n感觉人生到达了巅峰'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/11/05', 'goods_comment_comment': '积分换的，还不错。。凑15字。。'}]",https://www.adidas.com.cn/item/CF6801?locale=zh_CN
KIDS BEANIE 休闲帽,BR9574,¥229,0,黑/白,"['OSFY', 'OSFC']",[' '],"['https://img.adidas.com.cn/resources/2018/10/26/15405454975275477_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/26/15405454921566311_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/26/15405455061804351_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/26/15405454892943204_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/26/15405455030716225_500X500.jpg']",男童 ORIGINALS ,4,men,1,"[{'goods_comment_star': 4, 'goods_comment_time': '2018/11/14', 'goods_comment_comment': '帽子很漂亮就是有点小，弹力不足，里面加绒了保暖度应该没问题。'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/11/04', 'goods_comment_comment': '刚刚收到东西  看着还行  很喜欢'}]",https://www.adidas.com.cn/item/BR9574?locale=zh_CN
FAT STR BEANIE 儿童帽,DJ2241,¥169,0,深麻灰/朦胧珊瑚粉/白,['OSFC'],"[' 这款隔层无檐便帽，旨在伴小童在冬季舒适玩耍。采用棉针织面料打造，含舒适绒面衬里。配大号蓬蓬绒球，造型经典。 ', '聚丙烯酸化物', 'Climawarm暖风技术', '翻折帽沿']","['https://img.adidas.com.cn/resources/2018/10/15/15395919920829658_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/15/15395919849604327_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/15/15395919889863018_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/15/15395919868536995_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/15/15395919813228681_500X500.jpg']",女童 运动表现 训练,5,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/11/05', 'goods_comment_comment': '很好，价廉物美，用了优惠券很便宜，快递也很快！'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/11/02', 'goods_comment_comment': '质量不错，值得购买！儿子非常喜欢！'}]",https://www.adidas.com.cn/item/DJ2241?locale=zh_CN
FAT STR BEANIE 儿童帽,DJ2239,¥169,0,深麻灰/蓝/白,['OSFC'],"[' 这款隔层无檐便帽，旨在伴小童在冬季舒适玩耍。采用棉针织面料打造，含舒适绒面衬里。配大号蓬蓬绒球，造型经典。 ', '聚丙烯酸化物', 'Climawarm暖风技术', '翻折帽沿']","['https://img.adidas.com.cn/resources/2018/10/15/15395919496996067_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/15/15395919515972967_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/15/15395919554221968_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/15/15395919534969115_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/15/15395919474259686_500X500.jpg']",女童 运动表现 训练,6,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/11/05', 'goods_comment_comment': '很好，价廉物美，用了优惠券很便宜，快递也很快！'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/11/02', 'goods_comment_comment': '质量不错，值得购买！儿子非常喜欢！'}]",https://www.adidas.com.cn/item/DJ2239?locale=zh_CN
CIMAWARM BEANIE 针织帽,DJ1215,¥169,0,学院藏青蓝/深蓝/黑/学院蓝,"['OSFW', 'OSFM']","[' 这款无檐便帽，旨在适合冷天。采用双色针织面料，含绒面衬里。 ', '聚丙烯酸', 'Climawarm暖风技术', '短帽型', '罗纹帽沿', '双色针织结构', '缀梭织标']","['https://img.adidas.com.cn/resources/2018/10/15/15395914213656085_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/15/15395914194821882_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/15/15395914299393274_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/15/1539591425593709_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/15/15395914277272341_500X500.jpg']",中性 运动表现 训练,7,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/11/13', 'goods_comment_comment': '帽子款式好看，就是属于薄款的。'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/11/10', 'goods_comment_comment': '非常不错的帽子，非常不错的帽子，非常不错的帽子，'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/11/07', 'goods_comment_comment': '帽子还可以，就是太薄了点，戴起来还是舒服的，头不紧。'}, {'goods_comment_star': 4, 'goods_comment_time': '2018/11/04', 'goods_comment_comment': '非常棒的帽子官网不错反正不要钱嘻嘻嘻'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/11/03', 'goods_comment_comment': '做工精细，穿戴舒适，正品好货！'}]",https://www.adidas.com.cn/item/DJ1215?locale=zh_CN
CLMHT BEANIE 针织帽,CY6036,¥169,0,碳黑/碳黑/黑,"['OSFW', 'OSFM']","[' 这款隔层无檐便帽，旨在伴你户外训练。采用中空纤维纱线，旨在伴你舒适出行或运动。饰有反光细节。 ', '聚酯纤维', 'Climaheat炽风面料', '反光细节']","['https://img.adidas.com.cn/resources/2018/10/15/15395909081933801_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/15/15395909176597306_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/15/15395909101605744_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/15/15395909053722450_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/15/15395909149326117_500X500.jpg']",中性 运动表现 训练,9,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/11/01', 'goods_comment_comment': '面料舒适，对头部的包裹全面又不紧绷'}]",https://www.adidas.com.cn/item/CY6036?locale=zh_CN
CLMWM BEANIE 针织帽,DM4412,¥99,0,黑/黑/深银灰,"['OSFW', 'OSFM']","[' 这款隔层训练便帽，旨在伴你冷季锻炼。采用舒适绒面布打造，旨在助你应对寒冷。内含翻毛面料，配虾须线接缝。饰有反光细节。 ', '聚酯纤维', 'Climawarm暖风技术', '经典便帽造型', '虾须线接缝', '反光adidas运动徽标']","['https://img.adidas.com.cn/resources/2018/10/9/15390513996471071_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390513905187592_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390513951955587_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390513925174422_500X500.jpg', 'https://img.adidas.com.cn/resources/2018/10/9/15390513866301291_500X500.jpg']",中性 运动表现 训练,11,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/10/25', 'goods_comment_comment': '有点薄其实还是针织的比较好一点'}]",https://www.adidas.com.cn/item/DM4412?locale=zh_CN
